antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
frozenset({'Dept_90'}),frozenset({'Dept_92'}),0.25003885003885,0.25003885003885,0.23341103341103342,0.9334990677439404,3.733416097534032,1.0,0.1708916068822829,11.277453180256934,0.9762489632555128,0.8752913752913756,0.9113274970850095,0.9334990677439404,Dept_90,Dept_92
frozenset({'Dept_92'}),frozenset({'Dept_90'}),0.25003885003885,0.25003885003885,0.23341103341103342,0.9334990677439404,3.733416097534032,1.0,0.1708916068822829,11.277453180256934,0.9762489632555128,0.8752913752913756,0.9113274970850095,0.9334990677439404,Dept_92,Dept_90
frozenset({'Dept_91'}),frozenset({'Dept_90'}),0.25003885003885,0.25003885003885,0.23123543123543125,0.9247980111870728,3.698617279048362,1.0,0.16871600470668074,9.97262388667349,0.9728886486281746,0.8601156069364163,0.8997254873578147,0.9247980111870728,Dept_91,Dept_90
frozenset({'Dept_90'}),frozenset({'Dept_91'}),0.25003885003885,0.25003885003885,0.23123543123543125,0.9247980111870728,3.698617279048362,1.0,0.16871600470668074,9.97262388667349,0.9728886486281746,0.8601156069364163,0.8997254873578147,0.9247980111870728,Dept_90,Dept_91
frozenset({'Dept_94'}),frozenset({'Dept_93'}),0.21787101787101787,0.22968142968142968,0.18445998445998446,0.8466476462196861,3.68618241097678,1.0,0.13441905758922076,5.023193653891328,0.9317090187073654,0.7011222681630243,0.8009234624619085,0.8248799800787199,Dept_94,Dept_93
frozenset({'Dept_93'}),frozenset({'Dept_94'}),0.22968142968142968,0.21787101787101787,0.18445998445998446,0.8031123139377537,3.68618241097678,1.0,0.13441905758922076,3.9724626652461703,0.9459938453004176,0.7011222681630243,0.7482669859307463,0.8248799800787199,Dept_93,Dept_94
frozenset({'Dept_93'}),frozenset({'Dept_97'}),0.22968142968142968,0.24382284382284383,0.20404040404040405,0.888362652232747,3.6434758872643256,1.0,0.14803882468218132,6.773514162605076,0.9418659266339414,0.7572087658592849,0.8523661461401001,0.8626007015147164,Dept_93,Dept_97
frozenset({'Dept_97'}),frozenset({'Dept_93'}),0.24382284382284383,0.22968142968142968,0.20404040404040405,0.8368387507966858,3.6434758872643256,1.0,0.14803882468218132,4.72121030011655,0.959479942113532,0.7572087658592849,0.7881899054623105,0.8626007015147164,Dept_97,Dept_93
frozenset({'Dept_93'}),frozenset({'Dept_95'}),0.22968142968142968,0.25003885003885,0.20916860916860916,0.9106901217861976,3.6421944895551164,1.0,0.15173932861578548,8.397292270019545,0.9417405736885506,0.7731188971855256,0.8809139937203029,0.8736172796625208,Dept_93,Dept_95
frozenset({'Dept_95'}),frozenset({'Dept_93'}),0.25003885003885,0.22968142968142968,0.20916860916860916,0.836544437538844,3.642194489555116,1.0,0.15173932861578548,4.712709428298782,0.9673037761653843,0.7731188971855256,0.7878078385237969,0.8736172796625208,Dept_95,Dept_93
frozenset({'Dept_97'}),frozenset({'Dept_95'}),0.24382284382284383,0.25003885003885,0.22097902097902097,0.9063097514340344,3.624675730564333,1.0,0.16001383749635498,8.004687376115944,0.9575973646467957,0.8097949886104784,0.8750731973638647,0.895044247997937,Dept_97,Dept_95
frozenset({'Dept_95'}),frozenset({'Dept_97'}),0.25003885003885,0.24382284382284383,0.22097902097902097,0.8837787445618397,3.624675730564333,1.0,0.16001383749635498,6.506358525609865,0.9655343506778508,0.8097949886104784,0.8463041967232714,0.895044247997937,Dept_95,Dept_97
frozenset({'Dept_94'}),frozenset({'Dept_95'}),0.21787101787101787,0.25003885003885,0.19673659673659674,0.9029957203994294,3.6114216661095893,1.0,0.1422603779713337,7.7312171488642125,0.9245287579071337,0.7255014326647565,0.870654260416562,0.8449099173780864,Dept_94,Dept_95
frozenset({'Dept_95'}),frozenset({'Dept_94'}),0.25003885003885,0.21787101787101787,0.19673659673659674,0.7868241143567434,3.611421666109589,1.0,0.1422603779713337,3.6689374117945555,0.9641842599557818,0.7255014326647565,0.7274415211376204,0.8449099173780864,Dept_95,Dept_94
frozenset({'Dept_94'}),frozenset({'Dept_90'}),0.21787101787101787,0.25003885003885,0.1961149961149961,0.9001426533523538,3.600011171113982,1.0,0.14163877734973307,7.510325230325231,0.9234066256211383,0.7215551743853631,0.8668499739582256,0.8422403757749961,Dept_94,Dept_90
frozenset({'Dept_90'}),frozenset({'Dept_94'}),0.25003885003885,0.21787101787101787,0.1961149961149961,0.7843380981976383,3.600011171113982,1.0,0.14163877734973307,3.6266441851456266,0.9630139964258576,0.7215551743853631,0.7242629966027823,0.8422403757749961,Dept_90,Dept_94
frozenset({'Dept_92'}),frozenset({'Dept_91'}),0.25003885003885,0.25003885003885,0.225019425019425,0.8999378495960224,3.5991920833750184,1.0,0.16249999849067448,7.494953355822925,0.9629297051193694,0.8180790960451978,0.8665768881372574,0.8999378495960224,Dept_92,Dept_91
frozenset({'Dept_91'}),frozenset({'Dept_92'}),0.25003885003885,0.25003885003885,0.225019425019425,0.8999378495960224,3.5991920833750184,1.0,0.16249999849067448,7.494953355822925,0.9629297051193694,0.8180790960451978,0.8665768881372574,0.8999378495960224,Dept_91,Dept_92
frozenset({'Dept_95'}),frozenset({'Dept_91'}),0.25003885003885,0.25003885003885,0.22455322455322455,0.8980733374766937,3.591735193699518,1.0,0.16203379802447404,7.357850550533486,0.9621605576483783,0.8150028200789624,0.8640907431957155,0.8980733374766937,Dept_95,Dept_91
frozenset({'Dept_91'}),frozenset({'Dept_95'}),0.25003885003885,0.25003885003885,0.22455322455322455,0.8980733374766937,3.591735193699518,1.0,0.16203379802447404,7.357850550533486,0.9621605576483783,0.8150028200789624,0.8640907431957155,0.8980733374766937,Dept_91,Dept_95
frozenset({'Dept_91'}),frozenset({'Dept_93'}),0.25003885003885,0.22968142968142968,0.20466200466200465,0.8185208203853326,3.563722245723691,1.0,0.14723272410918098,4.244666368638973,0.9592423789011746,0.7440677966101694,0.7644102237602612,0.8547949162819761,Dept_91,Dept_93
frozenset({'Dept_93'}),frozenset({'Dept_91'}),0.22968142968142968,0.25003885003885,0.20466200466200465,0.8910690121786197,3.5637222457236906,1.0,0.14723272410918098,6.884736519519123,0.9338922171831893,0.7440677966101694,0.8547511590073388,0.8547949162819761,Dept_93,Dept_91
frozenset({'Dept_94'}),frozenset({'Dept_91'}),0.21787101787101787,0.25003885003885,0.19362859362859364,0.8887303851640515,3.554369191131555,1.0,0.1391523748633306,6.740035463112393,0.9188460494603994,0.7059490084985837,0.85163282812488,0.8315622093626349,Dept_94,Dept_91
frozenset({'Dept_91'}),frozenset({'Dept_94'}),0.25003885003885,0.21787101787101787,0.19362859362859364,0.7743940335612183,3.5543691911315545,1.0,0.1391523748633306,3.4667920998499526,0.958257805000868,0.7059490084985837,0.7115488984634293,0.8315622093626349,Dept_91,Dept_94
frozenset({'Dept_97'}),frozenset({'Dept_94'}),0.24382284382284383,0.21787101787101787,0.18834498834498833,0.7724665391969406,3.5455222394667,1.0,0.13522305718109912,3.4374240138946006,0.9494522510204163,0.6890278567367821,0.7090844783890947,0.8184729272304246,Dept_97,Dept_94
frozenset({'Dept_94'}),frozenset({'Dept_97'}),0.21787101787101787,0.24382284382284383,0.18834498834498833,0.8644793152639086,3.5455222394667,1.0,0.13522305718109912,5.579791436633539,0.9179484707858825,0.6890278567367821,0.8207818318379063,0.8184729272304246,Dept_94,Dept_97
frozenset({'Dept_93'}),frozenset({'Dept_90'}),0.22968142968142968,0.25003885003885,0.20341880341880342,0.8856562922868741,3.5420747301839874,1.0,0.14598952286597974,6.558831832204613,0.931665955945347,0.7362204724409449,0.8475338252934178,0.8496025401769983,Dept_93,Dept_90
