Store,Dept,Mean_Weekly_Demand,Std_Weekly_Demand,Max_Weekly_Demand,Safety_Stock_Units_Est,Reorder_Point_Est
1,1,22513.322937062938,9854.349032299468,57592.12,22994.65418222955,68021.30005635542
1,2,46102.09041958042,3440.6732222835767,65615.36,8028.647112168165,100232.827951329
1,3,13150.478041958042,8708.978852534268,51159.17,20321.987412662824,46622.94349657891
1,4,36964.154475524476,2930.698313474753,47893.23,6838.64494853092,80766.95389957988
1,5,24257.94111888112,11330.286495362407,85676.09,26438.683965068496,74954.56620283074
1,6,4801.7801398601405,3317.432691331577,28497.52,7741.0712021626405,17344.63148188292
1,7,24566.487412587412,18808.958464688912,166697.72,43889.80885554423,93022.78368071906
1,8,35718.25762237762,2490.7691879567255,42663.75,5812.091284476546,77248.60652923178
1,9,28062.05223776224,8422.254592935671,50675.72,19652.93000729638,75777.03448282086
1,10,31033.386363636364,3509.190494846424,43718.05,8188.528904758233,70255.30163203095
1,11,24919.270629370632,6135.18312309653,44553.45,14316.157647537299,64154.698906278565
1,12,10566.545314685314,1743.067882318456,15560.17,4067.3658948643224,25200.45652423495
1,13,38692.88048951049,2509.8480519953155,44863.15,5856.610905135323,83242.37188415631
1,14,15268.550909090907,5667.1358754168305,47983.72,13223.991684462248,43761.093502644064
1,16,24151.06132867133,15457.022600034059,59543.22,36068.22614154475,84370.34879888741
1,17,9196.557902097902,2025.0291960503025,19842.0,4725.309192872108,23118.424997067912
1,18,7765.304424778761,11435.692634746933,53845.12,26684.64417166222,42215.253021219745
1,19,1259.0185314685314,394.02726605797733,2600.99,919.4438609465726,3437.480923883635
1,20,4091.5715384615382,921.3118931033465,7272.2,2149.8374277639336,10332.98050468701
1,21,7808.450559440559,1067.2450177573348,13551.98,2490.365424504437,18107.266543385555
1,22,8052.076153846153,2567.297147859385,20555.07,5990.665634488438,22094.817942180744
1,23,21623.184685314685,5973.220675311968,62381.0,13938.22598862138,57184.59535925075
1,24,6187.38972027972,2988.1750683678847,17223.95,6972.764218911171,19347.54365947061
1,25,10152.336783216782,1975.402197301874,17880.04,4609.506954633773,24914.180521067337
1,26,6767.9972727272725,1905.108020641594,14479.39,4445.4788409522225,17981.473386406768
1,27,1374.6496503496503,687.9051992287405,5131.93,1605.1940229208135,4354.493323620114
1,28,593.113986013986,212.43688079693726,1151.63,495.71134465258757,1681.9393166805596
1,29,4651.04020979021,1582.8792007806667,14065.97,3693.573235014802,12995.653654595222
1,30,3415.295034965035,787.2616368368487,5735.0,1837.0375385186774,8667.627608448747
1,31,2408.533286713287,1599.208761764364,10581.34,3731.6774879225286,8548.744061349102
1,32,8202.668391608393,5041.978717179085,43995.62,11765.217227001416,28170.554010218202
1,33,5946.431188811189,2494.81681387646,14881.25,5821.536226803864,17714.398604426242
1,34,11530.831678321678,2451.83322204421,17933.0,5721.2360622315455,28782.899418874902
1,35,2535.7309090909093,589.2246263139397,4279.0,1374.9276053986973,6446.389423580516
1,36,1476.2035664335663,1139.133694623828,5850.0,2658.114228483762,5610.521361350895
1,37,2800.4951048951048,369.59582002328716,3816.82,862.4342451010082,6463.4244548912175
1,38,79978.22258741259,12540.94898771012,127811.89,29263.707236690505,189220.15241151568
1,40,58510.40916083916,4264.078123276134,68569.53,9950.023236376612,126970.84155805493
1,41,1064.7696503496504,720.9332673219948,4164.38,1682.2634469509765,3811.8027476502775
